Location,Price,Zone,City,Area
Boulevard san felipe,"MN 1,200,000",Gonzalez Ortega 2a Secc, Puebla,120 m²
117 ORIENTE,"MN 3,150,000",Fraccionamiento Ex-Hacienda Chapulco, Puebla,700 m²
15 de mayo,"MN 8,500",Equipamiento Zona Cementos Atoyac, Puebla,5012 m²
MARIANO ABASOLO,"MN 2,510,000",Guadalupe (Ejido Romero Vargas), Puebla,296 m²
Residencial Punta del Sol,"MN 720,000",Residencial Ex-Hacienda del Ángel, Puebla,120 m²
"VENTA TERRENO IDEAL PARA DESARROLLADORES 19,700 M2 EXCELENTE UBICACIÓN ZONA VALSEQUILLO Y PERIFERICO","MN 59,238,000",Barrio San Juan (San Francisco Totimehuacan), Puebla,19746 m²
"TERRENO EN VENTA, SAN FRANCISCO TOTIMEHUACAN A CINCO MINUTOS DEL BLVD. VALSEQUILLO","MN 10,396,532",Barrio Santa Catarina (San Francisco Totimehuacan), Puebla,5907 m²
"Terreno en 3 Oriente, Centro, Puebla","MN 17,500,000",Puebla Centro, Puebla,854 m²
Error,Error,Error,Error,Error
Puebla,"MN 110,000,000",Arboledas de Loma Bella, Puebla,223 m²
Error,Error,Error,Error,Error
Error,Error,Error,Error,Error
Primera de Cuauhtémoc,"MN 300,000",Agrícola Ignacio Zaragoza, Puebla,136 m²
"Carr. Internacional, Puebla, Pue.","MN 570,000",Barrio San Juan, Puebla,120 m²
"Carr. Internacional, Puebla, Pue.","MN 570,000",Barrio San Juan, Puebla,120 m²
"Carr. Internacional, Puebla, Pue.","MN 570,000",Barrio San Juan, Puebla,120 m²
"Carr. Internacional, Puebla, Pue.","MN 570,000",Barrio San Juan, Puebla,120 m²
"Carr. Internacional, Puebla, Pue.","MN 570,000",Barrio San Juan, Puebla,120 m²
"Venta DE Terreno EN Loma Linda, SAN Francisco Totimehuacan","MN 8,950,000",San Francisco Totimehuacan, Puebla,3741 m²
Calle Cristóbal Colon No. 927,"MN 10,170,000",Santa Cruz Buenavista Norte, Puebla,1564 m²
Sirio,"MN 43,950,000",Puebla, Puebla,1465 m²
Anillo Periférico,"MN 5,760,000",Puebla, Puebla,1280 m²
Carretera Federal Atlixco,"MN 2,600",Puebla, Puebla,776 m²
AVENIDA VICENTE GUERRERO,"MN 3,000",Puebla, Puebla,3741 m²
AVENIDA MORATILLA,"MN 1,607,400",Puebla, Puebla,169 m²
Zavaleta,"MN 3,900,000",Puebla, Puebla,510 m²
Santa Cruz Guadalupe Poniente,"MN 3,825,000",Puebla, Puebla,450 m²
Santa Cruz Guadalupe Poniente,"MN 6,162,500",Puebla, Puebla,725 m²
Santa Cruz Guadalupe Poniente,"MN 3,825,000",Puebla, Puebla,450 m²
Prolongación Av. Las Haras Col. Haras Flor del Bosque,"MN 2,888,000",Puebla, Puebla,727 m²
Emiliano Zapata,"MN 10,055,000",Puebla, Puebla,4022 m²
Reforma,"MN 4,674,000",Puebla, Puebla,3116 m²
PRIVADA DE BETUNIAS,"MN 444,000",Puebla, Puebla,148 m²
31,"MN 2,500,000",Puebla, Puebla,275 m²
Calzada Ignacio Zaragoza,"MN 28,566,780",Puebla, Puebla,1731 m²
Calzada Ignacio Zaragoza,"MN 103,795,000",Puebla, Puebla,6290 m²
Calzada Ignacio Zaragoza,"MN 50,739,490",Puebla, Puebla,3075 m²
PRIVADA CAMINO REAL,"MN 765,000",Puebla, Puebla,645 m²
Prolongacion 12 Sur,"MN 15,214,500",Puebla, Puebla,3381 m²
insurgentes,"MN 3,900,000",Puebla, Puebla,510 m²
Al Batan,"MN 65,000",Puebla, Puebla,9 m²
9 norte,"MN 2,600,000",Santa Bárbara, Puebla,461 m²
Error,Error,Error,Error,Error
La Paz,"MN 17,500,000",La Paz, Puebla,1086 m²
Fray Diego de Landa 3001,"MN 2,800,000",Tres Cruces, Puebla,419 m²
Error,Error,Error,Error,Error
Error,Error,Error,Error,Error
17 Sur 11701,"MN 1,968,540",Granjas Mayorazgo, Puebla,281 m²
S/C,"MN 2,000",Jardines del Sur, Puebla,3060 m²
constitucion mexicana,"MN 890,000",Constitución Mexicana, Puebla,447 m²
35 PONIENTE,"MN 4,100,000",Benito Juárez, Puebla,530 m²
EMILIANO ZAPATA,"MN 2,475,000",Guadalupe Hidalgo, Puebla,619 m²
LA PAZ,"MN 6,000,000",La Paz, Puebla,300 m²
29 ORIENTE,"MN 4,000,000",El Carmen, Puebla,300 m²
lirios,"MN 3,299,000",Bugambilias, Puebla,535 m²
parque colima,"MN 1,146,999",Los Volcanes, Puebla,240 m²
Bosques de Chapultepec,"MN 2,400,000",Los Pinitos, Puebla,400 m²
Bosques de Chapultepec,"MN 2,400,000",Los Pinitos, Puebla,400 m²
3 Norte,"MN 3,500,000",Guadalupe Caleras, Puebla,1500 m²
CALLE 133 Y 2 SUR,"MN 900,000",Guadalupe Hidalgo, Puebla,330 m²
Mirasoles,"MN 3,600,000",Bugambilias, Puebla,500 m²
principal,"MN 2,500,000",Nueva Antequera, Puebla,320 m²
PRIV 4 SUR NAYARIT,"MN 3,300,000",El Carmen, Puebla,350 m²
PRIV 4 SUR NAYARIT,"MN 3,300,000",El Carmen, Puebla,350 m²
AV 6 ORIENTE,"MN 2,000,000",Centro, Puebla,158 m²
AV 11 ORIENTE,"MN 8,500,000",Centro, Puebla,696 m²
teziutlan,"MN 1,385,000",Granjas del Sur, Puebla,277 m²
AV 11 ORIENTE,"MN 8,500,000",Centro, Puebla,696 m²
AV 6 ORIENTE,"MN 2,000,000",Acocota, Puebla,158 m²
35 poniente,"MN 4,505,000",Benito Juárez, Puebla,530 m²
9 ORIENTE,"MN 8,500,000",Barrio de Analco, Puebla,1092 m²
35 poniente,"MN 4,505,000",Benito Juárez, Puebla,530 m²
9 ORIENTE,"MN 8,500,000",Barrio de Analco, Puebla,1092 m²
INDEPENDENCIA,"MN 2,300,000",Los Angeles Mayorazgo, Puebla,200 m²
Hermanos Serdán,"MN 5,200,000",Tres Cerritos, Puebla,1300 m²
135 poniente,"MN 12,715,500",Guadalupe Hidalgo, Puebla,4900 m²
DIAGONAL 109 ORIENTE,"MN 19,200,000",San Rafael , Puebla,6000 m²
Privada miguel alemán Valdez,"MN 35,000",San Miguel Xonacatepec, Puebla,200 ha
calle 12 b sur,"MN 1,100,000",San José Chapulco, Puebla,500 ha
Niños Heroes de Chapultepec 1918,"MN 2,090,000",San Francisco Totimehuacan, Puebla,380 ha
PRIVADA 111 B ORIENTE,"MN 1,500,000",Arboledas de Loma Bella, Puebla,200 m²
Privada 109 oriente,"MN 4,800",Fraccionamiento San Jorge, Puebla,81 m²
Osa Mayor,"MN 20,000,000",Zona comercial Angelopolis, Puebla,100 m²
Parque Bicentenario,"MN 150,000",San Francisco Totimehuacan, Puebla,159 m²
Circuito Juan Pablo II,"MN 2,700,000",San Baltazar Campeche, Puebla,258 m²
Privada Insurgentes,"MN 1,536,800",Ignacio Romero Vargas, Puebla,226 m²
117 oriente,"MN 3,150,000",San José Chapulco, Puebla,700 m²
PLATON,"MN 1,500,000",Unidad Satélite Magisterial, Puebla,245 m²
PLATÓN,"MN 1,500,000",Unidad Satélite Magisterial, Puebla,245 m²
PLATÓN,"MN 3,000,000",Unidad Satélite Magisterial, Puebla,490 m²
PLATON,"MN 1,500,000",Unidad Satélite Magisterial, Puebla,245 m²
PRIVADA CONSTITUCIÓN,"MN 1,765,500",Ignacio Romero Vargas, Puebla,535 m²
Monte Alban,"MN 2,350,000",Santa Cruz Buenavista, Puebla,330 m²
Las Palmas,"MN 1,500,000",Guadalupe Victoria Valsequillo, Puebla,763 m²
PRIVADA 111 B ORIENTE,"MN 1,490,000",Arboledas de Loma Bella, Puebla,200 m²
BUGAMBILIA,"MN 340,000",San Francisco Totimehuacan, Puebla,158 m²
BUGAMBILIA,"MN 340,000",San Francisco Totimehuacan, Puebla,158 m²
19 SUR,"MN 4,800,000",Barrio San Matías, Puebla,320 m²
Circuito Juan Pablo II,"MN 2,700,000",San Baltazar Campeche, Puebla,258 m²
AVENIDA FUENTE DE TREVI,"MN 1,760,000",San Rafael Poniente, Puebla,210 m²
Montealban,"MN 2,300,000",Santa Cruz Buenavista, Puebla,330 m²
COBRE,"MN 590,000",Lomas San Miguel, Puebla,203 m²
Campestre,"MN 2,640,000",Santa Cruz Buenavista, Puebla,660 m²
Cromo,"MN 1,015,000",Minerales de Guadalupe Sur, Puebla,290 m²
Hierro,"MN 2,005,500",Minerales de Guadalupe Sur, Puebla,573 m²
Punta del sol residencial,"MN 680,000",Fraccionamiento San Francisco Totimehuacan, Puebla,120 ha
Leona Vicario,"MN 1,687,500",Rancho San José Xilotzingo, Puebla,375 m²
Privada Calzada Zavaleta,"MN 23,460,000",Santa Cruz Buenavista Sur, Puebla,2300 m²
Carretera Internacional,"MN 96,386,500",Barrio San Juan (San Francisco Totimehuacan), Puebla,27539 m²
Carretera Internacional,"MN 73,986,500",Barrio San Juan (San Francisco Totimehuacan), Puebla,21139 m²
Calle sor juana ines de la cruz 8511 tres cruces,"MN 1,120,000",Tres Cruces, Puebla,280 m²
Club de Golf las Fuentes,"MN 6,378,750",Club de golf Las Fuentes, Puebla,607 m²
Calzada Ignacio Zaragoza,"MN 178,678,500",Puebla, Puebla,10829 m²
BLVD 15 DE MAYO,"MN 2,720,000",Valle Dorado, Puebla,200 m²
Limones,"MN 220,000",Balcones del Sur, Puebla,91 m²
Corregidora,"MN 11,619,600",Santa Cruz Buenavista Sur, Puebla,1263 m²
